reason,word,lemma,pos,correction,lemma_fix,scope,xpos,detail,author,song_title,context
bad_lemma,infinitum-от,infinitum,PROPN,,,,Npmsny,lemma 'infinitum',Богомил Ѓузел,"Лондон, Нова година 1965","ad infinitum-от на нашите дни ,"
lowercase_propn,guerido,guerido,PROPN,,,,Npfsnn,,Ристо Лазаров,ГАРДЕЛ,mi Buenos aires guerido
lowercase_propn,ice,ice,PROPN,,,,Npmsnn,,Богомил Ѓузел,VI,од кајшто ice позајмени или да се остават на пат
lowercase_propn,infinitum-от,infinitum,PROPN,,,,Npmsny,,Богомил Ѓузел,"Лондон, Нова година 1965","ad infinitum-от на нашите дни ,"
lowercase_propn,агон,агон,PROPN,,,,Npmsnn,,Катица Ќулавкова,Ода на македонскиот јазик,"Во тебе огнот не е само огон , ни агон"
lowercase_propn,аирес,аирес,PROPN,,,,Npmsnn,,Ристо Лазаров,КАФЕ ТОРТОНИ,не бил ни во буенос аирес
lowercase_propn,аирес,аирес,PROPN,,,,Npmsnn,,Ристо Лазаров,ЕВИТА,добрите ветрови на буенос аирес
lowercase_propn,аирес,аирес,PROPN,,,,Npmsnn,,Ристо Лазаров,ЕВИТА,под националната библиотека во буенос аирес
lowercase_propn,аирес,аирес,PROPN,,,,Npmsnn,,Ристо Лазаров,ГАРДЕЛ,денес кај пазарот абасто во буенос аирес
lowercase_propn,аирес,аирес,PROPN,,,,Npmsnn,,Ристо Лазаров,БОРХЕС,со полни зимбили мечтаења за буенос аирес
lowercase_propn,алберт,Алберт,PROPN,,,,Npmsnn,,Ристо Лазаров,КАФЕ ТОРТОНИ,нема да ја разбере радоста на алберт ајнштајн
lowercase_propn,амор,амор,PROPN,,,,Npmsnn,,Катица Ќулавкова,VIA LASCIVA  5.,на амор морите
lowercase_propn,амстердам,амстердам,PROPN,,,,Npmsnn,,Ристо Лазаров,ОТАДЕ ВРЕМЕТО,разгледница до гоце смилевски од амстердам
lowercase_propn,амфора,амфора,PROPN,,,,Npmsnn,,Богомил Ѓузел,IX,- парчето амфора исплакнато
lowercase_propn,анапест,анапест,PROPN,,,,I,,Пијан Славеј,НЕСОНИЦА,Трохеј – дактил или јамб – анапест
lowercase_propn,анте,анте,PROPN,,,,Npmsnn,,Ристо Лазаров,ТРАГАЧ ПО СВЕТЛИНАТА,на анте поповски
lowercase_propn,ар,ар,PROPN,,,,Npmsnn,,Славко Јаневски,Зоја - 4,3 ар една московска мајка испрати чедо во бојот ?
lowercase_propn,асадо-асадито,асадо-асадито,PROPN,,,,Q-s,,Ристо Лазаров,КАМИНИТО,наште срце асадо-асадито
lowercase_propn,ахил,ахил,PROPN,,,,Npmsnn,,Ристо Лазаров,ОДНОВО И ОДНОВО,ахил останува сам крај зелената чоја
lowercase_propn,ајнштајн,Ајнштајн,PROPN,,,,Npmsnn,,Ристо Лазаров,КАФЕ ТОРТОНИ,нема да ја разбере радоста на алберт ајнштајн
lowercase_propn,барјаци,барјаци,PROPN,,,,Npmsnn,,Адем Гајтани,Рибите од Бохињ,барјаци извишени се боровите наоколу
lowercase_propn,бока,бока,PROPN,,,,Npmsnn,,Ристо Лазаров,КАМИНИТО,бока бока грловито
lowercase_propn,бока,бока,PROPN,,,,Npmsnn,,Ристо Лазаров,КАМИНИТО,бока бока грловито
lowercase_propn,борхес,борхес,PROPN,,,,Npmsnn,,Ристо Лазаров,АВЕНИЈА КОРИЕНТАС,во која борхес тврдоглаво му објаснува на орхан памук
lowercase_propn,борхес,борхес,PROPN,,,,Npmsnn,,Ристо Лазаров,КАФЕ ТОРТОНИ,што борхес нечујно ги пее на увце
lowercase_propn,брегу,брегу,PROPN,,,,Npmsnn,,Адем Гајтани,Рибите од Бохињ,"брегу , следната која ќе биде ?"
lowercase_propn,брест,брест,PROPN,,,,Npmsnn,,Блаже Конески,ПЕПЕЛАШКА,"на брест ,"
lowercase_propn,брут,брут,PROPN,,,,Npmsnn,,Бранко Цветкоски,СЕВЕРЕН ТАНЦ 7. (6),На резето се спушта брут
lowercase_propn,буенос,буенос,PROPN,,,,Npnsnn,,Ристо Лазаров,ЕВИТА,добрите ветрови на буенос аирес
lowercase_propn,буенос,буенос,PROPN,,,,Npmsnn,,Ристо Лазаров,ЕВИТА,под националната библиотека во буенос аирес
lowercase_propn,буенос,буенос,PROPN,,,,Npnsnn,,Ристо Лазаров,ГАРДЕЛ,денес кај пазарот абасто во буенос аирес
lowercase_propn,ван,ван,PROPN,,,,Npmsnn,,Ристо Лазаров,ЦРВЕНА ВРАТА,над сончогледите на ван гог .
lowercase_propn,велестово,велестово,PROPN,,,,Npnsnn,,Ефтим Клетников,псалм,малата црква во велестово
lowercase_propn,влатко,влатко,PROPN,,,,Npmsnn,,Ристо Лазаров,ТРОЦВЕТ,"влатко стефановски ,"
lowercase_propn,вража,вража,PROPN,,,,I,,Влада Урошевиќ,ЗИМСКА ПЕСНА,слушај како дрвото во темнината вража
lowercase_propn,врвицо,врвицо,PROPN,,,,I,,Матеја Матевски,Дождови,Однеси ме низ овој дожд ти врвицо
lowercase_propn,вртолун,вртолун,PROPN,,,,Npmsnn,,Катица Ќулавкова,ЦРНА МЕСЕЧИНА,"вртолун , бела ноќ"
lowercase_propn,втори,втор,PROPN,,,,Npmsnn,,Блаже Конески,МАТУРАНТИ,"Нова младост нашата ја втори ,"
lowercase_propn,втори,втор,PROPN,,,,Npmsnn,,Ристо Лазаров,ЕВИТА,евита и папата јован павле втори сега се бронзени соседи
lowercase_propn,гази,гази,PROPN,,,,Npmsnn,,Славко Јаневски,3имна приказна,"в планина , џинот гази , рспрснал бели стада ,"
lowercase_propn,гази,гази,PROPN,,,,Npmsnn,,Богомил Ѓузел,VIII,гази .
lowercase_propn,гази,гази,PROPN,,,,Npmsnn,,Блаже Конески,НА ГРАНИЦА,"Житјата ги крвник гази ,"
lowercase_propn,галиба,галиба,PROPN,,,,Q-s,,Ристо Лазаров,ГРОБИШТАТА РЕКОЛЕТА,толку погорделиви стануваат галиба
lowercase_propn,гарсија,гарсија,PROPN,,,,Npfsnn,,Ристо Лазаров,КАФЕ ТОРТОНИ,нема да види како фредерико гарсија лорка
lowercase_propn,георги,георги,PROPN,,,,Npmsnn,,Ристо Лазаров,ГАЛИЧИЦА,на георги старделов
lowercase_propn,гог,гог,PROPN,,,,Npmsnn,,Ристо Лазаров,ЦРВЕНА ВРАТА,над сончогледите на ван гог .
lowercase_propn,гомномразец,гомномразец,PROPN,,,,Q-c,,Пијан Славеј,ЧУВАЈ СЕ,чувај се од свињата што глуми гомномразец
lowercase_propn,горкорек,горкорек,PROPN,,,,I,,Гане Тодоровски,Македонски јазик,"за Мисирков брег нестигнат , грч горкорек"
lowercase_propn,гоце,гоце,PROPN,,,,Npmsnn,,Ристо Лазаров,ОТАДЕ ВРЕМЕТО,разгледница до гоце смилевски од амстердам
lowercase_propn,гра,гра,PROPN,,,,Npnsnn,,Матеја Матевски,Прогонети од рајот,Толку е тешко и стравливо и заморно ова гра -
lowercase_propn,грбно,грбно,PROPN,,,,Npnsnn,,Пијан Славеј,СРНА НА ПАТОТ,на топлиот капак летаме грбно
lowercase_propn,гревои,гревои,PROPN,,,,Npmsnn,,Ристо Лазаров,ГРЕШНИК,збунет ангел гревои бери
lowercase_propn,грловито,грловито,PROPN,,,,Q-s,,Ристо Лазаров,КАМИНИТО,бока бока грловито
lowercase_propn,грмеж,грмеж,PROPN,,,,Npmsnn,,Милош Линдро,Словото-знак на синот,Ќе се затресат со грмеж
lowercase_propn,гром,гром,PROPN,,,,Npmsnn,,Петре М. Андреевски,Ко да беше лани,кој гром ги отвора твоите горни гори
lowercase_propn,гром,гром,PROPN,,,,Npmsnn,,Богомил Ѓузел,VII,гром
lowercase_propn,грчев,грчев,PROPN,,,,Npmsnn,,Пијан Славеј,СТРАНЦИ ВО НОЌТА,"ако прв заспав , сигурно и грчев"
lowercase_propn,грчови,грчови,PROPN,,,,Npfsnn,,Адем Гајтани,Удавената,ти мавташе со рацете во грчови
lowercase_propn,гувее,гувее,PROPN,,,,Npmsnn,,Адем Гајтани,Рим,гувее остарува
lowercase_propn,д'тка,д'тка,PROPN,,,,Q-s,,Влада Урошевиќ,Привлекување,Лази некој наоколу и на неразбирлив јазик д'тка
lowercase_propn,дака,дака,PROPN,,,,Npmsnn,,Тодор Чаловски,Страста,"тате ни кажа дака пркнува полека , молкум"
lowercase_propn,дален,дален,PROPN,,,,Q-c,,Блаже Конески,6.,Го думам арно во спомен дален
lowercase_propn,дамар,дамар,PROPN,,,,Npmsnn,,Ристо Лазаров,МУЗА,дамар во дамар
lowercase_propn,дамар,дамар,PROPN,,,,Npmsnn,,Ристо Лазаров,МУЗА,дамар во дамар
lowercase_propn,дворој,дворој,PROPN,,,,Q-s,,Славко Јаневски,Ајдучка легенда,седма вечер в челникови дворој
lowercase_propn,деда,деда,PROPN,,,,Npmsnn,,Кочо Рацин,Копачите,На деда Богомил
lowercase_propn,деда,деда,PROPN,,,,Npmsnn,,Гане Тодоровски,Македонски јазик,"За деда Цепенко виделина низ опак век ,"
lowercase_propn,деда,деда,PROPN,,,,Npmsnn,,Пијан Славеј,КАЈ ЌЕ ОДИ СЕТО ТОА САКАЊЕ,"од татка и мајка , баба и деда"
lowercase_propn,деспина,деспина,PROPN,,,,Npfsnn,,Ристо Лазаров,ЖОРНОУТРО,деспина тресе килими од ѕвезди
lowercase_propn,детено,детено,PROPN,,,,Q-s,,Ацо Шопов,Лист,"Мислејќи дека е жолта пеперуга , детено"
lowercase_propn,дизгин,дизгин,PROPN,,,,Npmsnn,,Тодор Чаловски,Страста,на плипотот дизгин скришно му отпушта
lowercase_propn,дими,дими,PROPN,,,,Npfsnn,,Кочо Рацин,Утрото над нас,По тија пот се човечка дими
lowercase_propn,добромисленик,добромисленик,PROPN,,,,Npmsnn,,Бранко Цветкоски,СЕВЕРЕН ТАНЦ 7. (6),Гавранот добромисленик
lowercase_propn,довек,довек,PROPN,,,,Q-s,,Ацо Шопов,Небиднина,со која се болува довек
lowercase_propn,довек,довек,PROPN,,,,Q-s,,Тодор Чаловски,Страста,Дадо нѐ учаше да ја филизиме довек
lowercase_propn,довека,довека,PROPN,,,,Q-s,,Богомил Ѓузел,Х,светлината однатре го гребе мраморот довека
lowercase_propn,довик,довик,PROPN,,,,Npmsnn,,Тодор Чаловски,Јадрорез,и резови сеќава низ довик
lowercase_propn,домино,домино,PROPN,,,,Npmsnn,,Ристо Лазаров,КАФЕ ТОРТОНИ,по победата на првенството во домино
lowercase_propn,дорија,дорија,PROPN,,,,Npfsnn,,Славко Јаневски,Илинка сончева свршеница - 3,на дорија крилен од планина слета
lowercase_propn,дорогу,дорогу,PROPN,,,,Npfsnn,,Гане Тодоровски,Зимска прикаска,„ Выхожу один я на дорогу
lowercase_propn,дошто,дошто,PROPN,,,,Npmsnn,,Петре М. Андреевски,НА ГРОБОТ ОД ДЕНИЦИЈА,"Дошто сретнав залез , дошто пресеков лубеница"
lowercase_propn,дудуци,дудуци,PROPN,,,,Npmsnn,,Гане Тодоровски,Нашинска (III),Итромани дудуци лесноверци
lowercase_propn,дума,дума,PROPN,,,,Npfsnn,,Кочо Рацин,Балада за непознатиот,дума врз дума чемерна : –
lowercase_propn,дума,дума,PROPN,,,,Npfsnn,,Кочо Рацин,Балада за непознатиот,дума врз дума чемерна : –
lowercase_propn,дурум,дурум,PROPN,,,,Q-s,,Пијан Славеј,АЈАХУАСКА,под сводот палатум дурум
lowercase_propn,душо,душо,PROPN,,,,I,,Катица Ќулавкова,АДАЏО: ТРЕВОГА,душо
lowercase_propn,евита,евита,PROPN,,,,Npfsnn,,Ристо Лазаров,ЕВИТА,евита и папата јован павле втори сега се бронзени соседи
lowercase_propn,еге,еге,PROPN,,,,Npmsnn,,Блаже Конески,Планина,"со еге би го стругал ,"
lowercase_propn,едишто,едишто,PROPN,,,,Q-s,,Петре М. Андреевски,Како ќе го најдеш Ристо Шишков,И кажи му дека едикоиси за едишто
lowercase_propn,ел,ел,PROPN,,,,Npmsnn,,Ристо Лазаров,ГАРДЕЛ,на ел тенбросо с # уште се вкрстуваат
lowercase_propn,елен,елен,PROPN,,,,Npmsnn,,Ефтим Клетников,Јавач во полноќта - 2,и скока елен темнозелен
lowercase_propn,еп,еп,PROPN,,,,Npmsnn,,Пијан Славеј,НЕСОНИЦА,За кучешки живот гневен кучешки еп
lowercase_propn,жив-отец,жив-отец,PROPN,,,,Y,,Катица Ќулавкова,ЦРНА МЕСЕЧИНА,"три дена трикрак , троглав жив-отец"
lowercase_propn,жива-вода,жива-вода,PROPN,,,,Npmsnn,,Пијан Славеј,ПЛЕСОК,"жива-вода , забревтани"
lowercase_propn,з-рак,з-рак,PROPN,,,,Q-s,,Катица Ќулавкова,ГОСПОДАР,"да вдишувам воз-дух , з-рак"
lowercase_propn,запал,запал,PROPN,,,,Npfsnn,,Славко Јаневски,Зоја - 4,кон запал
lowercase_propn,заум,заум,PROPN,,,,I,,Тодор Чаловски,Страста,да нѐ фркнува в душа како ветровит заум
lowercase_propn,здивевте,здивевте,PROPN,,,,Q-s,,Катица Ќулавкова,МРАВКИ,здивевте
