author,rank,word,tfidf_score
Јосип Коцев,1,април,0.2121
Јосип Коцев,2,атом,0.1658
Јосип Коцев,3,какви,0.1595
Јосип Коцев,4,жила,0.1505
Јосип Коцев,5,оди,0.1183
Јосип Коцев,6,пет,0.1136
Јосип Коцев,7,самоти,0.1074
Јосип Коцев,8,затвореник,0.0979
Јосип Коцев,9,сличен,0.0979
Јосип Коцев,10,казнет,0.0979
Јосип Коцев,11,четврток,0.0979
Јосип Коцев,12,летува,0.0979
Јосип Коцев,13,нанижани,0.0979
Јосип Коцев,14,верови,0.0979
Јосип Коцев,15,цутови,0.0979
Јосип Коцев,16,учител,0.0979
Јосип Коцев,17,чоколада,0.0979
Јосип Коцев,18,маски,0.0979
Јосип Коцев,19,развеани,0.0979
Јосип Коцев,20,платив,0.0979
Адем Гајтани,1,божилото,0.0718
Адем Гајтани,2,седум,0.0599
Адем Гајтани,3,долина,0.0561
Адем Гајтани,4,рибите,0.0557
Адем Гајтани,5,претвораш,0.0557
Адем Гајтани,6,езерото,0.0552
Адем Гајтани,7,вилиците,0.054
Адем Гајтани,8,иглата,0.054
Адем Гајтани,9,тркалезен,0.054
Адем Гајтани,10,школката,0.054
Адем Гајтани,11,черепи,0.054
Адем Гајтани,12,гледаат,0.0522
Адем Гајтани,13,излегува,0.0522
Адем Гајтани,14,поетот,0.0513
Адем Гајтани,15,боговите,0.0513
Адем Гајтани,16,бараат,0.0513
Адем Гајтани,17,ката,0.0513
Адем Гајтани,18,дево,0.0509
Адем Гајтани,19,черепот,0.049
Адем Гајтани,20,заборавен,0.049
Анте Поповски,1,наваму,0.1015
Анте Поповски,2,проста,0.1015
Анте Поповски,3,малечки,0.1015
Анте Поповски,4,крст,0.0921
Анте Поповски,5,еве,0.0831
Анте Поповски,6,нешта,0.0829
Анте Поповски,7,неговиот,0.0829
Анте Поповски,8,зашто,0.0819
Анте Поповски,9,молчиме,0.0819
Анте Поповски,10,спречи,0.0819
Анте Поповски,11,коледе,0.0819
Анте Поповски,12,синџири,0.0819
Анте Поповски,13,господи,0.0819
Анте Поповски,14,листови,0.0819
Анте Поповски,15,расфрлани,0.0819
Анте Поповски,16,чул,0.0819
Анте Поповски,17,свеќи,0.0819
Анте Поповски,18,заробени,0.0789
Анте Поповски,19,колена,0.0789
Анте Поповски,20,замине,0.0743
Ацо Шопов,1,крви,0.0854
Ацо Шопов,2,патував,0.0833
Ацо Шопов,3,старо,0.0802
Ацо Шопов,4,идат,0.0756
Ацо Шопов,5,стари,0.0733
Ацо Шопов,6,грла,0.0732
Ацо Шопов,7,девет,0.0683
Ацо Шопов,8,слетува,0.067
Ацо Шопов,9,црвениот,0.067
Ацо Шопов,10,небиднина,0.067
Ацо Шопов,11,божилото,0.067
Ацо Шопов,12,искачив,0.067
Ацо Шопов,13,заради,0.0649
Ацо Шопов,14,личи,0.0648
Ацо Шопов,15,бидеме,0.0637
Ацо Шопов,16,алишта,0.0608
Ацо Шопов,17,темнини,0.0608
Ацо Шопов,18,црвеното,0.0608
Ацо Шопов,19,градини,0.0607
Ацо Шопов,20,вечер,0.0604
Блаже Конески,1,вик,0.0499
Блаже Конески,2,мрачен,0.0493
Блаже Конески,3,сосем,0.0475
Блаже Конески,4,вод,0.0475
Блаже Конески,5,некаква,0.0447
Блаже Конески,6,син,0.0447
Блаже Конески,7,гласи,0.0431
Блаже Конески,8,тивка,0.043
Блаже Конески,9,сокол,0.043
Блаже Конески,10,младост,0.0427
Блаже Конески,11,ужас,0.0412
Блаже Конески,12,самотен,0.0402
Блаже Конески,13,мрзне,0.0391
Блаже Конески,14,тешкото,0.0391
Блаже Конески,15,ах,0.0383
Блаже Конески,16,мака,0.0383
Блаже Конески,17,спрема,0.038
Блаже Конески,18,оро,0.0369
Блаже Конески,19,мина,0.0369
Блаже Конески,20,дивна,0.0368
Богомил Ѓузел,1,наште,0.0795
Богомил Ѓузел,2,доби,0.0663
Богомил Ѓузел,3,зар,0.0582
Богомил Ѓузел,4,океанот,0.0579
Богомил Ѓузел,5,завршува,0.0579
Богомил Ѓузел,6,нашта,0.0579
Богомил Ѓузел,7,потем,0.0572
Богомил Ѓузел,8,животи,0.0548
Богомил Ѓузел,9,сал,0.0543
Богомил Ѓузел,10,непознатото,0.0541
Богомил Ѓузел,11,годишните,0.0534
Богомил Ѓузел,12,навистина,0.052
Богомил Ѓузел,13,ах,0.0516
Богомил Ѓузел,14,постое,0.0498
Богомил Ѓузел,15,помеѓу,0.0497
Богомил Ѓузел,16,мораме,0.0495
Богомил Ѓузел,17,неизбежно,0.0495
Богомил Ѓузел,18,долж,0.0495
Богомил Ѓузел,19,постоиме,0.0495
Богомил Ѓузел,20,достатно,0.0495
Бранко Цветкоски,1,пропаѓа,0.076
Бранко Цветкоски,2,жичка,0.076
Бранко Цветкоски,3,виделина,0.0723
Бранко Цветкоски,4,повисоко,0.069
Бранко Цветкоски,5,семи,0.069
Бранко Цветкоски,6,острите,0.069
Бранко Цветкоски,7,облици,0.069
Бранко Цветкоски,8,тресе,0.069
Бранко Цветкоски,9,пристига,0.0636
Бранко Цветкоски,10,меша,0.0636
Бранко Цветкоски,11,молитва,0.0636
Бранко Цветкоски,12,срчен,0.0613
Бранко Цветкоски,13,виор,0.0613
Бранко Цветкоски,14,снежен,0.0613
Бранко Цветкоски,15,роза,0.0613
Бранко Цветкоски,16,ирност,0.0613
Бранко Цветкоски,17,излезам,0.0613
Бранко Цветкоски,18,бегаме,0.0613
Бранко Цветкоски,19,остар,0.0613
Бранко Цветкоски,20,ноќната,0.0613
Братислав Ташковски,1,поинаку,0.0967
Братислав Ташковски,2,останатите,0.0904
Братислав Ташковски,3,пишувам,0.0777
Братислав Ташковски,4,зрнце,0.0727
Братислав Ташковски,5,напишам,0.0727
Братислав Ташковски,6,борам,0.0727
Братислав Ташковски,7,убат,0.0727
Братислав Ташковски,8,сакам,0.0704
Братислав Ташковски,9,верувам,0.0704
Братислав Ташковски,10,започнува,0.066
Братислав Ташковски,11,осво,0.066
Братислав Ташковски,12,стиховите,0.066
Братислав Ташковски,13,повторно,0.0646
Братислав Ташковски,14,ангел,0.0643
Братислав Ташковски,15,убам,0.0643
Братислав Ташковски,16,можам,0.064
Братислав Ташковски,17,повеќе,0.061
Братислав Ташковски,18,книги,0.0608
Братислав Ташковски,19,наскоро,0.0608
Братислав Ташковски,20,направи,0.0608
Веле Смилевски,1,забрането,0.1255
Веле Смилевски,2,забранет,0.103
Веле Смилевски,3,забранета,0.0935
Веле Смилевски,4,заборавена,0.0905
Веле Смилевски,5,верот,0.0861
Веле Смилевски,6,верови,0.0834
Веле Смилевски,7,одаите,0.0834
Веле Смилевски,8,книгата,0.0781
Веле Смилевски,9,ид,0.0781
Веле Смилевски,10,приватни,0.0675
Веле Смилевски,11,пророк,0.0675
Веле Смилевски,12,жарот,0.0675
Веле Смилевски,13,одглас,0.0675
Веле Смилевски,14,книга,0.065
Веле Смилевски,15,единица,0.0594
Веле Смилевски,16,зевс,0.0594
Веле Смилевски,17,кориците,0.0594
Веле Смилевски,18,клучалката,0.0594
